      id  x
1   3752  1
2   1219  2
3   4496  1
4   1358  1
5   2330  1
6   4270  2
7    218  2
8   4929  2
9   2383  2
10  4805  1
11  2538  0
12  3072  1
13  4670  0
14   208  1
15  2867  2
16  1002  2
17  3505  2
18  3169  2
19    38  2
20  4912  1
21  4900  1
22   271  1
23  2566  0
24  4239  2
25  1856  1
26   264  2
27  1395  1
28  1833  1
29    66  2
30   930  0
31  1119  2
32  4468  2
33   416  0
34   932  1
35   708  0
36  4822  2
37   400  2
38  1586  1
39  4620  1
40  4807  2
41  4792  1
42  4570  1
43   740  1
44  1751  1
45   390  1
46  1524  1
47  4837  1
48     7  2
49  4003  4
50  3125  3
51  2595  4
52   570  4
53  1997  3
54   385  3
55  2328  4
56   959  4
57  4895  4
58  3389  3
59  1465  3
60   622  3
61  3760  3
62  3582  4
63  3444  4
64   889  3
65  4215  4
66  3078  4
67  4252  4
68   983  4
69  1112  4
70  1821  4
71   556  3
72  2230  3
73  2926  3
74  1944  4
75  4474  4
76  2118  4
77  3846  4
78  1629  6
79  3647  6
80  2344  6
81   907  5
82  4949  6
83  1784  6
84  4214  6
85   189  6
86   502  5
87  3089  6
88  2963  6
89  4812  6
90  1288  6
91  4737  6
92  4093  6
93  2621  6
94  2465  6
95  2627  5
96  2622  6
97  2058  6
98  3748  5
99  3248  6
100 4304  5
101 1737  6
102 2019  6
103 4752  5
104 1746  5
105 1330  5
106 2215  6
107 4100  5
108  522  6
109  388  5
110 1985  6
111  587  5
112 3085  5
113 1912  5
114 3727  6
115 4256  5
116 3802  8
117 4733  7
118 4211  7
119 4867  8
120 3992  8
121 2956  7
122 1196  8
123 1869  7
124 3076  7
125 3217  8
126 1640  8
127 4600  8
128 2711  7
129 4588  7
130 1925  8
131 2852  7
132 1696  7
133 2296  8
134 4477  8
135 2912  8
136 4266  7
137 1817  8
138 3621  8
139 1298  8
140 4375  7
141 4091  7
142 2063 10
143 2270 10
144 2803  9
145 3050 10
146  179 10
147  874  9
148  646  9
149 4290 10
150 2871  9
151 3755 10
152 1273 10
153 4803  9
154 4553 10
155 1541  9
156 3577  9
157 1248 10
158 2787  9
159 4376 10
160 1132  9
161 4271 10
162 4873  9
163  523  9
164  871  9
165 1068 10
166 2518  9
167 2081  9
168 2252 11
169 3525 12
170 1508 11
171  919 12
172 3927 12
173 4585 11
174 3515 12
175 2431 11
176 2587 11
177  306 14
178 3965 14
179 3496 13
180 2249 13
181 3853 13
182  193 13
183 4933 14
184 4178 14
185 4819 14
186 4757 13
187 4939 16
188  242 15
189 4473 15
190 4166 16
191  891 15
192  485 15
193  379 16
194 3530 16
195 1674 15
196 1615 18
197 4650 18
198 4882 17
199 3299 21
200  237 25
