      id  x
1   4945  0
2    605  4
3    238  4
4    255  4
5   3527  3
6    587  5
7   1207  6
8   1202  5
9   4912  6
10  3811  5
11  4898  7
12  1675  8
13  3673  8
14  1002  8
15   112  8
16  4056  7
17  2311  8
18  1642  8
19  4767  8
20  4606  7
21  1545  7
22  4345  7
23   740  7
24  3744  7
25  3458  7
26  4630  7
27  2275  7
28  4437  9
29  3049  9
30  4071  9
31  3978  9
32  4149  9
33  3874  9
34  4181  9
35   136 10
36   119 10
37  4404 10
38  2942  9
39   374  9
40  3026 10
41  3988  9
42  4862  9
43  3030  9
44  3242  9
45  1384 10
46  2801 10
47  3334 10
48  4816 10
49  1244  9
50  2215  9
51  2778 12
52  4932 12
53  2131 12
54   300 12
55  1794 12
56  1804 12
57  1355 11
58  3027 12
59  2072 12
60  3718 11
61  1568 12
62  4702 12
63  3969 11
64  2560 11
65  2972 12
66  3381 11
67  2139 12
68  4733 11
69  4481 12
70  2039 11
71  4683 12
72  2709 12
73  2598 12
74   431 11
75  4133 12
76   254 12
77  4496 12
78  4629 11
79  3961 11
80  1810 12
81  4041 11
82  1507 11
83   496 13
84  2142 13
85  4383 14
86  2208 14
87  1502 13
88  1156 13
89  2776 14
90   274 13
91   951 13
92  4550 14
93  3016 14
94  3117 13
95  4986 14
96  3944 13
97  1644 13
98  1879 13
99  2420 14
100  207 13
101 2777 14
102 3071 14
103 4357 14
104 3759 13
105 3899 14
106 3428 13
107 3671 14
108 2537 13
109  328 13
110 1104 13
111 2471 13
112 4141 14
113  223 13
114 3550 14
115 1135 13
116 3904 13
117 4256 14
118 3661 13
119 1048 14
120 2968 13
121  406 13
122 3656 13
123 2223 14
124 4599 16
125 3079 15
126 3272 15
127 2614 16
128  192 15
129 2522 16
130 2834 16
131 2298 15
132 1904 15
133 1567 15
134 2178 16
135 4865 15
136 2233 16
137 2743 15
138 2692 16
139 1709 16
140 4296 15
141 3903 15
142 2724 15
143 3089 16
144 1844 16
145  629 16
146  324 16
147 1058 15
148 1788 15
149 4608 16
150 1707 15
151 4349 15
152  592 15
153 3547 15
154 4706 16
155 2831 17
156 3414 17
157 2982 17
158 3745 18
159 2588 17
160 3126 17
161 1712 18
162 1715 18
163 4722 18
164 3032 18
165 2976 18
166 2337 18
167  505 18
168 2428 18
169 2731 17
170 3446 18
171 2519 17
172 1515 18
173  867 18
174  138 17
175 4500 18
176 3573 17
177 1195 19
178 1371 19
179 4356 20
180  787 19
181 1739 20
182 3477 20
183 4116 19
184 2091 20
185 4671 20
186 4084 19
187 2151 19
188 2859 19
189 2722 20
190 2378 20
191 1380 22
192 2594 21
193 1969 22
194 1412 21
195  536 22
196 3271 22
197 2239 21
198 2429 23
199 3542 23
200 4517 25
